name,latitude,longitude,都道府県,市区町村,住所,ポケモン,画像URL,詳細URL,manhole_no
福島県/西郷村（ラッキー・ウパー）,37.1399,140.15467,福島県,西郷村,福島県西郷村大字熊倉字折口原146,ラッキー・ウパー,https://local.pokemon.jp/img/p/manhole/1177578c6fc8b006e9b2e53ac8ea99cd_l.png,https://local.pokemon.jp/manhole/desc/284/,284
福島県/矢吹町（ラッキー・ファイアロー）,37.21842,140.335635,福島県,矢吹町,福島県矢吹町大池145,ラッキー・ファイアロー,https://local.pokemon.jp/img/p/manhole/2602675c5b001db979a74bfda76749aa_l.png,https://local.pokemon.jp/manhole/desc/285/,285
福島県/古殿町（ラッキー・ハピナス）,37.092891,140.529308,福島県,古殿町,福島県古殿町大字田口字平舘25番地,ラッキー・ハピナス,https://local.pokemon.jp/img/p/manhole/2b62ebefd99578ba22804a9f3d8cbd5e_l.png,https://local.pokemon.jp/manhole/desc/286/,286
福島県/三春町（ラッキー・ロズレイド）,37.4433,140.49124,福島県,三春町,福島県三春町字北町10,ラッキー・ロズレイド,https://local.pokemon.jp/img/p/manhole/726c846d91cf52f7516cf1e6401637b7_l.png,https://local.pokemon.jp/manhole/desc/287/,287
山口県/下関市（エンペルト・ホエルコ）,33.958211,130.948691,山口県,下関市,山口県下関市阿弥陀寺町6,エンペルト・ホエルコ,https://local.pokemon.jp/img/p/manhole/45b93f3bf2e0617781b54d098c85e938_l.png,https://local.pokemon.jp/manhole/desc/288/,288
山口県/下関市（チョンチー・ハリーセン）,33.954627,130.9416769,山口県,下関市,山口県下関市あるかぽーと6,チョンチー・ハリーセン,https://local.pokemon.jp/img/p/manhole/639984e012e0fb49cb6697784322f5a6_l.png,https://local.pokemon.jp/manhole/desc/289/,289
山口県/下関市（アーボ）,33.934094,130.930909,山口県,下関市,山口県下関市大字彦島字船島648,アーボ,https://local.pokemon.jp/img/p/manhole/19e9d673ad1d496efdf895ddf8b2dd9e_l.png,https://local.pokemon.jp/manhole/desc/290/,290
山口県/下関市（ドガース）,33.935457,130.929705,山口県,下関市,山口県下関市大字彦島字船島648,ドガース,https://local.pokemon.jp/img/p/manhole/1bf730cea4b0376a673d2aedefc19ce6_l.png,https://local.pokemon.jp/manhole/desc/291/,291
三重県/亀山市（ミジュマル・リオル・ドダイトス）,34.8594415,136.4474608,三重県,亀山市,三重県亀山市若山町７,ミジュマル・リオル・ドダイトス,https://local.pokemon.jp/img/p/manhole/e576fe03cd6caedf734295b94e40b1d3_l.png,https://local.pokemon.jp/manhole/desc/292/,292
三重県/朝日町（ミジュマル・エルフーン）,35.037263,136.658857,三重県,朝日町,三重県朝日町柿2340-36,ミジュマル・エルフーン,https://local.pokemon.jp/img/p/manhole/13bc40cf9c71d3585a1d7250ec072043_l.png,https://local.pokemon.jp/manhole/desc/293/,293
三重県/明和町（ミジュマル・アマカジ・フラージェス）,34.5399661,136.6184925,三重県,明和町,三重県明和町斎宮２８１１,ミジュマル・アマカジ・フラージェス,https://local.pokemon.jp/img/p/manhole/5d34514d91c421e7eb38d33dd3aa4d5e_l.png,https://local.pokemon.jp/manhole/desc/294/,294
三重県/大台町（ミジュマル・ヤナップ・ビリジオン）,34.356007,136.34766,三重県,大台町,三重県大台町薗993,ミジュマル・ヤナップ・ビリジオン,https://local.pokemon.jp/img/p/manhole/3d94649159a7193785e0d718e9419ae4_l.png,https://local.pokemon.jp/manhole/desc/295/,295
三重県/度会町（ミジュマル・マリル・ネンドール）,34.4320615,136.6313249,三重県,度会町,三重県度会町大野木１２６０,ミジュマル・マリル・ネンドール,https://local.pokemon.jp/img/p/manhole/08fd5108b2fa7f649a3b4288b51dbb81_l.png,https://local.pokemon.jp/manhole/desc/296/,296
三重県/紀宝町（ミジュマル・プロトーガ）,33.769742,136.028632,三重県,紀宝町,三重県紀宝町井田568-7,ミジュマル・プロトーガ,https://local.pokemon.jp/img/p/manhole/11b856a2714d8732b97c4de3a3eb54b3_l.png,https://local.pokemon.jp/manhole/desc/297/,297
香川県/綾川町（ヤドン・シェルダー）,34.247395,133.9327735,香川県,綾川町,香川県綾川町萱原253-7,ヤドン・シェルダー,https://local.pokemon.jp/img/p/manhole/1ec34abda217efe011cff081f744466e_l.png,https://local.pokemon.jp/manhole/desc/298/,298
岩手県/久慈市（イシツブテ・プテラ・ビーダル）,40.225538,141.781703,岩手県,久慈市,岩手県久慈市夏井町第7地割3-2,イシツブテ・プテラ・ビーダル,https://local.pokemon.jp/img/p/manhole/2542a462ffbb774db2a3a9c72fc44239_l.png,https://local.pokemon.jp/manhole/desc/299/,299
鳥取県/鳥取市（サンド・ホルビー）,35.53395,134.224478,鳥取県,鳥取市,鳥取県鳥取市浜坂1157-1,サンド・ホルビー,https://local.pokemon.jp/img/p/manhole/4ed2700dca6b81175e2041b6015883ad_l.png,https://local.pokemon.jp/manhole/desc/300/,300
石川県/金沢市（ミロカロス）,36.559162,136.661926,石川県,金沢市,石川県金沢市出羽町3-2,ミロカロス,https://local.pokemon.jp/img/p/manhole/c940415d26bf0831bbc369b7616083e1_l.png,https://local.pokemon.jp/manhole/desc/301/,301
北海道/室蘭市（ロコン・イルミーゼ）,42.313837,140.973986,北海道,室蘭市,北海道室蘭市本町2-2,ロコン・イルミーゼ,https://local.pokemon.jp/img/p/manhole/8926749b6373a6631574db18ea39adf7_l.png,https://local.pokemon.jp/manhole/desc/302/,302
北海道/北見市（ロコン）,43.75359,143.500587,北海道,北見市,北海道北見市留辺蘂町松山1-4,ロコン,https://local.pokemon.jp/img/p/manhole/5d4acfcb12a887332d63082b2bfcae8a_l.png,https://local.pokemon.jp/manhole/desc/303/,303
北海道/歌志内市（ロコン・バチュル）,43.503206,142.005914,北海道,歌志内市,北海道歌志内市字中村72番地2,ロコン・バチュル,https://local.pokemon.jp/img/p/manhole/9e92a35e490e653f3cdbc4836a94263e_l.png,https://local.pokemon.jp/manhole/desc/304/,304
北海道/木古内町（ロコン・ヒメンカ）,41.678024,140.43558,北海道,木古内町,北海道木古内町字本町338−14,ロコン・ヒメンカ,https://local.pokemon.jp/img/p/manhole/9c50492829220e1aa07a60b268ddfa1e_l.png,https://local.pokemon.jp/manhole/desc/305/,305
北海道/猿払村（ロコン・エイパム）,45.329186,142.177267,北海道,猿払村,北海道猿払村浜鬼志別214-7,ロコン・エイパム,https://local.pokemon.jp/img/p/manhole/e37f84100e487f76745f084394ae7d07_l.png,https://local.pokemon.jp/manhole/desc/306/,306
北海道/美幌町（ロコン・ハネッコ）,43.836455,144.105878,北海道,美幌町,北海道美幌町字新町3丁目97,ロコン・ハネッコ,https://local.pokemon.jp/img/p/manhole/8ec01130d0c20e3a3957f36e64315883_l.png,https://local.pokemon.jp/manhole/desc/307/,307
三重県/名張市（ミジュマル・フタチマル）,34.626212,136.088911,三重県,名張市,三重県名張市朝日町1319番地5,ミジュマル・フタチマル,https://local.pokemon.jp/img/p/manhole/be9daa94605e7406128c8aef5c159b77_l.png,https://local.pokemon.jp/manhole/desc/308/,308
三重県/木曽岬町（ミジュマル・ゴーリキー）,35.0755751,136.7318048,三重県,木曽岬町,三重県木曽岬町西対海地251番地,ミジュマル・ゴーリキー,https://local.pokemon.jp/img/p/manhole/063983c387a9eb6bb1ca4748018fb7df_l.png,https://local.pokemon.jp/manhole/desc/309/,309
三重県/東員町（ミジュマル・マネネ）,35.073792,136.581108,三重県,東員町,三重県東員町北大社1634番地,ミジュマル・マネネ,https://local.pokemon.jp/img/p/manhole/73080cfd2979568b56409864ffb75c41_l.png,https://local.pokemon.jp/manhole/desc/310/,310
神奈川県/横浜市（ピカチュウ・ライチュウ）,35.451037,139.644154,神奈川県,横浜市,神奈川県横浜市中区新港一丁目,ピカチュウ・ライチュウ,https://local.pokemon.jp/img/p/manhole/022cc45747413f97e8b5bf0873da6695_l.png,https://local.pokemon.jp/manhole/desc/311/,311
神奈川県/横浜市（ピカチュウ・ペリッパー）,35.443707,139.650904,神奈川県,横浜市,神奈川県横浜市中区山下町14-1,ピカチュウ・ペリッパー,https://local.pokemon.jp/img/p/manhole/680c8828351a0c325e338868e99f0a0a_l.png,https://local.pokemon.jp/manhole/desc/312/,312
神奈川県/横浜市（ピカチュウ・ビクティニ・ゴンべ）,35.458698,139.638331,神奈川県,横浜市,神奈川県横浜市西区みなとみらい一丁目,ピカチュウ・ビクティニ・ゴンべ,https://local.pokemon.jp/img/p/manhole/3a15037b379ab433f3c857ef5d2535eb_l.png,https://local.pokemon.jp/manhole/desc/313/,313
神奈川県/横浜市（ピカチュウ・コダック・ワンリキー）,35.453319,139.631688,神奈川県,横浜市,神奈川県横浜市西区みなとみらい2-1-1,ピカチュウ・コダック・ワンリキー,https://local.pokemon.jp/img/p/manhole/ac4ed4c5f7ff0704cd3e3bc890c7a217_l.png,https://local.pokemon.jp/manhole/desc/314/,314
福岡県/太宰府市（キルリア・メブキジカ・ヤヤコマ）,33.513335,130.515174,福岡県,太宰府市,福岡県太宰府市観世音寺4-6,キルリア・メブキジカ・ヤヤコマ,https://local.pokemon.jp/img/p/manhole/82a8e4547e0d8ae6938fc9ca802c90e0_l.png,https://local.pokemon.jp/manhole/desc/315/,315
福岡県/太宰府市（フーディン・ヤドキング・ヤレユータン）,33.519356,130.531372,福岡県,太宰府市,福岡県太宰府市宰府２丁目５,フーディン・ヤドキング・ヤレユータン,https://local.pokemon.jp/img/p/manhole/5cd7a8385c92d8774ca9fcf6577d93eb_l.png,https://local.pokemon.jp/manhole/desc/316/,316
福岡県/太宰府市（ギルガルド）,33.505199,130.516571,福岡県,太宰府市,福岡県太宰府市朱雀３丁目１３,ギルガルド,https://local.pokemon.jp/img/p/manhole/9f18ef1fb249c26b80202eabfd32d469_l.png,https://local.pokemon.jp/manhole/desc/317/,317
秋田県/秋田市（ガーディ・イワンコ・バウッツェル）,39.752642,140.061295,秋田県,秋田市,秋田県秋田市土崎港西１丁目9-1,ガーディ・イワンコ・バウッツェル,https://local.pokemon.jp/img/p/manhole/75d7b8121f07fb3655b214e5bc97fd10_l.png,https://local.pokemon.jp/manhole/desc/318/,318
秋田県/横手市（パピモッチ・ユキワラシ）,39.293561,140.545941,秋田県,横手市,秋田県横手市赤坂富ケ沢62-46,パピモッチ・ユキワラシ,https://local.pokemon.jp/img/p/manhole/77213c59ad91f8db66797f0066bc9b6e_l.png,https://local.pokemon.jp/manhole/desc/319/,319
秋田県/男鹿市（オニゴーリ・ヘルガー・グランブル）,39.88201,139.84772,秋田県,男鹿市,秋田県男鹿市船川港船川字新浜町1-19,オニゴーリ・ヘルガー・グランブル,https://local.pokemon.jp/img/p/manhole/f472a2f36f3ef6d95fc671aa272be760_l.png,https://local.pokemon.jp/manhole/desc/320/,320
秋田県/鹿角市（カラカラ）,40.181213,140.785474,秋田県,鹿角市,秋田県鹿角市花輪字新田町11-4,カラカラ,https://local.pokemon.jp/img/p/manhole/01e7a194efa8ccf1f402fd3748124ea6_l.png,https://local.pokemon.jp/manhole/desc/321/,321
秋田県/仙北市（ハクリュー・ワシボン）,39.699992,140.662631,秋田県,仙北市,秋田県仙北市田沢湖潟字ヨテコ沢４,ハクリュー・ワシボン,https://local.pokemon.jp/img/p/manhole/e2e2f0492f0c7751a975073c6ec29d61_l.png,https://local.pokemon.jp/manhole/desc/322/,322
岩手県/北上市（ゴローニャ・キリキザン）,39.281115,141.122747,岩手県,北上市,岩手県北上市川岸一丁目１（さくらＰＯＲＴ・スクエア内）,ゴローニャ・キリキザン,https://local.pokemon.jp/img/p/manhole/078ccb34c03eff812d8749fed35e679a_l.png,https://local.pokemon.jp/manhole/desc/323/,323
北海道/美瑛町,43.59198,142.46372,北海道,美瑛町,北海道美瑛町本町1丁目9番21号,,https://local.pokemon.jp/img/p/manhole/de1fad5b97b1302c551d9589cad60c01_l.png,https://local.pokemon.jp/manhole/desc/324/,324
愛媛県/松山市（アマージョ・アマカジ）,33.84106,132.77024,愛媛県,松山市,愛媛県松山市大街道2丁目 大街道アーケード,アマージョ・アマカジ,https://local.pokemon.jp/img/p/manhole/2c463a2dd4f605a830d338c012f560f1_l.png,https://local.pokemon.jp/manhole/desc/325/,325
愛媛県/松山市（シュバルゴ・ネギガナイト）,33.84426,132.74078,愛媛県,松山市,愛媛県松山市朝日ヶ丘1丁目　松山総合公園展望広場,シュバルゴ・ネギガナイト,https://local.pokemon.jp/img/p/manhole/5cfd8d62b32230e7062a428e6a8d5314_l.png,https://local.pokemon.jp/manhole/desc/326/,326
徳島県/鳴門市（スイクン）,34.224106,134.636196,徳島県,鳴門市,徳島県鳴門市鳴門町土佐泊浦字大毛82-100,スイクン,https://local.pokemon.jp/img/p/manhole/db86984d919f6b77c13d3595895d4033_l.png,https://local.pokemon.jp/manhole/desc/327/,327
徳島県/鳴門市（シードラ・キングドラ）,34.181955,134.601709,徳島県,鳴門市,徳島県鳴門市撫養町斎田字北浜157,シードラ・キングドラ,https://local.pokemon.jp/img/p/manhole/ec4704ac964ad623fcdc8e707c4cab98_l.png,https://local.pokemon.jp/manhole/desc/328/,328
徳島県/鳴門市（ニョロモ・ニョロゾ・ディグダ）,34.168084,134.616371,徳島県,鳴門市,徳島県鳴門市撫養町立岩字四枚61,ニョロモ・ニョロゾ・ディグダ,https://local.pokemon.jp/img/p/manhole/b7feef9605334785b629220d93968bd0_l.png,https://local.pokemon.jp/manhole/desc/329/,329
三重県/鈴鹿市（ミジュマル・モトトカゲ）,34.823065,136.584609,三重県,鈴鹿市,三重県鈴鹿市寺家3-10-1（※「鈴鹿市伝統産業会館」敷地内）,ミジュマル・モトトカゲ,https://local.pokemon.jp/img/p/manhole/5e7b0f7a590d610047c48864ebaa692f_l.png,https://local.pokemon.jp/manhole/desc/330/,330
三重県/川越町（ミジュマル・スバメ・アメタマ）,35.01731,136.659834,三重県,川越町,三重県川越町大字豊田283番4,ミジュマル・スバメ・アメタマ,https://local.pokemon.jp/img/p/manhole/54d0f6d4443b068cf2328ea975e6f54a_l.png,https://local.pokemon.jp/manhole/desc/331/,331
三重県/多気町（ミジュマル・グルトン・ゴマゾウ）,34.466166,136.5537339,三重県,多気町,三重県多気町五桂９９２,ミジュマル・グルトン・ゴマゾウ,https://local.pokemon.jp/img/p/manhole/3079076ac9d1bd591d3d9fed6d5490bf_l.png,https://local.pokemon.jp/manhole/desc/332/,332
三重県/松阪市（ミジュマル・ニャース）,34.578655,136.519839,三重県,松阪市,三重県松阪市外五曲町１番地１,ミジュマル・ニャース,https://local.pokemon.jp/img/p/manhole/5fd9256575a991a946731d58af9d9177_l.png,https://local.pokemon.jp/manhole/desc/333/,333
三重県/玉城町（ミジュマル・バネブー）,34.4678411,136.5876056,三重県,玉城町,三重県玉城町原４２５４−１,ミジュマル・バネブー,https://local.pokemon.jp/img/p/manhole/44742a17501610a31bcbed2c84e725ff_l.png,https://local.pokemon.jp/manhole/desc/334/,334
三重県/南伊勢町（ミジュマル・メタモン）,34.268997,136.54891,三重県,南伊勢町,三重県南伊勢町道行竈（見江島展望台）,ミジュマル・メタモン,https://local.pokemon.jp/img/p/manhole/43f237d285100171554ac6f1a0b3d5ae_l.png,https://local.pokemon.jp/manhole/desc/335/,335
福井県/勝山市（カイリュー・アーケン・ガチゴラス）,36.056787,136.492007,福井県,勝山市,福井県勝山市遅羽町比島34-2-7,カイリュー・アーケン・ガチゴラス,https://local.pokemon.jp/img/p/manhole/8911ceb39e882e398c2d3ce2c706e4cd_l.png,https://local.pokemon.jp/manhole/desc/336/,336
福井県/あわら市（カイリュー・トゲチック・ジグザグマ）,36.215613,136.234226,福井県,あわら市,福井県あわら市春宮1-13,カイリュー・トゲチック・ジグザグマ,https://local.pokemon.jp/img/p/manhole/6a7679a424968fb14c2d9d0de5761ac7_l.png,https://local.pokemon.jp/manhole/desc/337/,337
福井県/越前市（カイリュー・エレズン・ヒトツキ）,35.895286,136.198727,福井県,越前市,福井県越前市大屋町38-5-1,カイリュー・エレズン・ヒトツキ,https://local.pokemon.jp/img/p/manhole/ae37578bd4f8d92f43b00865ff9a4592_l.png,https://local.pokemon.jp/manhole/desc/338/,338
福井県/永平寺町（カイリュー・ダクマ）,36.079891,136.399312,福井県,永平寺町,福井県永平寺町清水2-21-1,カイリュー・ダクマ,https://local.pokemon.jp/img/p/manhole/82eb8843dce5a6e807c44b4d02cac7f4_l.png,https://local.pokemon.jp/manhole/desc/339/,339
福井県/高浜町（カイリュー・シャリタツ）,35.492951,135.54556,福井県,高浜町,福井県高浜町塩土第1号200番地,カイリュー・シャリタツ,https://local.pokemon.jp/img/p/manhole/40a7836c54804faf50d4fec9edf7b2cf_l.png,https://local.pokemon.jp/manhole/desc/340/,340
福井県/美浜町（カイリュー・ヒドイデ・ウミディグダ）,35.604507,135.936876,福井県,美浜町,福井県美浜町松原35-15-1,カイリュー・ヒドイデ・ウミディグダ,https://local.pokemon.jp/img/p/manhole/aa96cff87252e9d15d1050c3dfdb32b9_l.png,https://local.pokemon.jp/manhole/desc/341/,341
和歌山県/和歌山市（レントラー・アシレーヌ）,34.2300173,135.171405,和歌山県,和歌山市,和歌山県和歌山市七番丁23,レントラー・アシレーヌ,https://local.pokemon.jp/img/p/manhole/e5ee70fdd320e4d6792e7ee9890b2ace_l.png,https://local.pokemon.jp/manhole/desc/342/,342
和歌山県/高野町,34.212091,135.583052,和歌山県,高野町,和歌山県高野町高野山357,,https://local.pokemon.jp/img/p/manhole/1361a905da2d83b5309cd04822de4f32_l.png,https://local.pokemon.jp/manhole/desc/343/,343
和歌山県/白浜町（ヤンチャム・ナミイルカ）,33.675779,135.387056,和歌山県,白浜町,和歌山県白浜町堅田1474,ヤンチャム・ナミイルカ,https://local.pokemon.jp/img/p/manhole/03e9a0983c54cc918c63b4db3a0fcc5e_l.png,https://local.pokemon.jp/manhole/desc/344/,344
和歌山県/串本町（ピィ・リグレー・ジバコイル）,33.517997,135.823074,和歌山県,串本町,和歌山県串本町西向359番地,ピィ・リグレー・ジバコイル,https://local.pokemon.jp/img/p/manhole/5f390e91fa19495f13ca11ded3be39a0_l.png,https://local.pokemon.jp/manhole/desc/345/,345
和歌山県/那智勝浦町（セレビィ）,33.668973,135.902917,和歌山県,那智勝浦町,和歌山県那智勝浦町大字市野々3034-2,セレビィ,https://local.pokemon.jp/img/p/manhole/0647823671ac088cf1c2812389b1b5c9_l.png,https://local.pokemon.jp/manhole/desc/346/,346
静岡県/静岡市（フシギソウ・ムクホーク）,34.977499,138.382564,静岡県,静岡市,静岡県静岡市葵区駿府城公園１－１,フシギソウ・ムクホーク,https://local.pokemon.jp/img/p/manhole/2b3b0900b7cdfb28b04ebb960c115ec9_l.png,https://local.pokemon.jp/manhole/desc/347/,347
静岡県/浜松市（メロエッタ・シビルドン）,34.704017,137.732587,静岡県,浜松市,静岡県浜松市中央区砂山町320-2 （浜松UP-ON付近）,メロエッタ・シビルドン,https://local.pokemon.jp/img/p/manhole/e7918b84cc982219422e8d442611a8fe_l.png,https://local.pokemon.jp/manhole/desc/348/,348
静岡県/沼津市（ハンテール・ジーランス・サクラビス）,35.081579,138.854731,静岡県,沼津市,静岡県沼津市本千本１９０１−１７,ハンテール・ジーランス・サクラビス,https://local.pokemon.jp/img/p/manhole/69a0c3234cff806f768ffdd1db611679_l.png,https://local.pokemon.jp/manhole/desc/349/,349
静岡県/富士市（ファイヤー）,35.161532,138.617705,静岡県,富士市,静岡県富士市岩淵富士山 築山,ファイヤー,https://local.pokemon.jp/img/p/manhole/dd4782c37fab19b0621283b4e8253ffa_l.png,https://local.pokemon.jp/manhole/desc/350/,350
静岡県/伊豆市（ヤンチャム・ゴロンダ）,34.970285,138.92774,静岡県,伊豆市,静岡県伊豆市修善寺９４７,ヤンチャム・ゴロンダ,https://local.pokemon.jp/img/p/manhole/54b23fd2424c86f488e780a6dd137276_l.png,https://local.pokemon.jp/manhole/desc/351/,351
京都府/宇治市（ヒバニー・パッチール）,34.890627,135.809787,京都府,宇治市,京都府宇治市宇治又振,ヒバニー・パッチール,https://local.pokemon.jp/img/p/manhole/ba4d976110fe6bb12c1e0b7c0a312f7b_l.png,https://local.pokemon.jp/manhole/desc/352/,352
京都府/宇治市（チャデス・ヤバソチャ）,34.895547,135.805962,京都府,宇治市,京都府宇治市菟道丸山203-1,チャデス・ヤバソチャ,https://local.pokemon.jp/img/p/manhole/11fd9be6e92dc0be962656f7c238bef0_l.png,https://local.pokemon.jp/manhole/desc/353/,353
